iter	MultiCrossEntropy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12	F1:class=13	F1:class=14	F1:class=15
26	0.2632927426	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169
27	0.2577227418	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169
28	0.2527230215	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675
29	0.2482889588	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675
30	0.2443601445	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675
31	0.2408288571	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675
32	0.23762908	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675
33	0.2347987511	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675
34	0.2322031545	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675	0.8262312675
35	0.2296295446	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841
36	0.2275302219	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841
37	0.2254828622	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841
38	0.2236883835	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841
39	0.2219825928	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841	0.8262296841
40	0.2196430019	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335
41	0.2175484446	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335
42	0.2157197804	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335
43	0.2137574991	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335	0.8262319335
44	0.2121458468	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905	0.8262961905
45	0.2106091286	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
46	0.209191774	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
47	0.2079591721	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
48	0.2068229771	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
49	0.2057936187	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
50	0.2046017796	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
51	0.2037126871	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
52	0.2025465013	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
53	0.2017690822	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673	0.826415673
54	0.2007862223	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882
55	0.1999627042	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882
56	0.1992411432	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882	0.8264185882
57	0.1985688058	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365	0.8305371365
58	0.1979531682	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519
59	0.1973596314	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519
60	0.1968261331	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519
61	0.1963481076	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519
62	0.1957824785	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519
63	0.1953419343	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519	0.8305419519
64	0.1947651192	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829
65	0.1943068688	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829
66	0.1939057892	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829	0.8305515829
67	0.1935162663	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169
68	0.19314542	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169
69	0.1927670402	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169
70	0.1923661603	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169	0.8305782169
71	0.1919304957	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958	0.8305717958
72	0.1914145895	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483
73	0.1910732345	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483
74	0.1906567457	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483
75	0.1901164559	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483	0.8309619483
76	0.1898239678	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414
77	0.1894137425	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414
78	0.1891243933	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414
79	0.1887037384	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414
80	0.1883775071	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414	0.8309603414
81	0.1879628161	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815	0.8309577815
82	0.1876795592	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209	0.8309555209
83	0.1873701067	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022
84	0.187170159	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022	0.8311526022
85	0.1867872422	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702	0.8309929702
86	0.1864363848	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341	0.8310074341
87	0.1861222811	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555	0.8310122555
88	0.1858598551	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196	0.831066196
89	0.1856342826	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648
90	0.1852275244	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648	0.8310703648
91	0.1849561953	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903	0.8310657903
92	0.1846601688	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188	0.8312743188
93	0.1844531871	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028	0.8312425028
94	0.184155691	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841	0.8315776841
95	0.1838834202	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441	0.8319866441
96	0.1836837721	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772	0.8322647772
97	0.1834940686	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663	0.8322876663
98	0.1832807378	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936	0.8323011936
99	0.1830233197	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562	0.8323034562
100	0.1827694258	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704	0.8338141704
101	0.1826335829	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533	0.8338180533
102	0.1822873626	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868	0.832382868
103	0.1820583373	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055	0.8338993055
104	0.181894387	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698	0.8340698
105	0.1815911267	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741	0.8340843741
106	0.1814521592	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548	0.8340827548
107	0.1812286555	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674	0.8343362674
108	0.1810675302	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551	0.8343679551
109	0.1808558259	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818	0.8343724818
110	0.1806562919	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725	0.8343873725
111	0.1804832246	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209	0.8343747209
112	0.1803492222	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093	0.8343805093
113	0.1801380316	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019	0.834637019
114	0.180002688	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537	0.8349589537
